locus_tag	ftype	length_bp	gene	EC_number	COG	product
JS526_00001	gene	153	hokC_1			
JS526_00001	CDS	153	hokC_1			Toxic protein HokC
JS526_00002	gene	1167	nhaA			
JS526_00002	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
JS526_00003	gene	900	nhaR			
JS526_00003	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
JS526_00004	gene	264	rpsT			
JS526_00004	CDS	264	rpsT		COG0268	30S ribosomal protein S20
JS526_00005	gene	942	ribF			
JS526_00005	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
JS526_00006	gene	2817	ileS			
JS526_00006	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JS526_00007	gene	495	lspA			
JS526_00007	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
JS526_00008	gene	450	fkpB			
JS526_00008	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
JS526_00009	gene	951	ispH			
JS526_00009	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
JS526_00010	gene	915	rihC			
JS526_00010	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
JS526_00011	gene	822	dapB			
JS526_00011	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JS526_00012	gene	1149	carA			
JS526_00012	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
JS526_00013	gene	3222	carB			
JS526_00013	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
JS526_00014	gene	396				
JS526_00014	CDS	396				hypothetical protein
JS526_00015	gene	591	yrdA_1			
JS526_00015	CDS	591	yrdA_1		COG0663	Protein YrdA
JS526_00016	gene	786	caiD			
JS526_00016	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
JS526_00017	gene	1554	caiC			
JS526_00017	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
JS526_00018	gene	1218	caiB			
JS526_00018	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
JS526_00019	gene	1143	caiA_1			
JS526_00019	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
JS526_00020	gene	1515	caiT_1			
JS526_00020	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
JS526_00021	gene	771	fixA_1			
JS526_00021	CDS	771	fixA_1		COG2086	Protein FixA
JS526_00022	gene	942	fixB_1			
JS526_00022	CDS	942	fixB_1		COG2025	Protein FixB
JS526_00023	gene	1287	thi4			
JS526_00023	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
JS526_00024	gene	288	fixX_1			
JS526_00024	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
JS526_00025	gene	1332	ygcS_1			
JS526_00025	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
JS526_00026	gene	531	kefF			
JS526_00026	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
JS526_00027	gene	1863	kefC_1			
JS526_00027	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
JS526_00028	gene	591	folA			
JS526_00028	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
JS526_00029	gene	843	apaH			
JS526_00029	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
JS526_00030	gene	378	apaG			
JS526_00030	CDS	378	apaG		COG2967	Protein ApaG
JS526_00031	gene	822	rsmA			
JS526_00031	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
JS526_00032	gene	990	pdxA			
JS526_00032	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
JS526_00033	gene	1287	surA			
JS526_00033	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
JS526_00034	gene	2355	lptD			
JS526_00034	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
JS526_00035	gene	816	djlA			
JS526_00035	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
JS526_00036	gene	651				
JS526_00036	CDS	651				hypothetical protein
JS526_00037	gene	159				
JS526_00037	CDS	159				hypothetical protein
JS526_00038	gene	660	rluA			
JS526_00038	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
JS526_00039	gene	2907	rapA			
JS526_00039	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
JS526_00040	gene	2352	polB			
JS526_00040	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
JS526_00041	gene	696	araD			
JS526_00041	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
JS526_00042	gene	1503	araA			
JS526_00042	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
JS526_00043	gene	1701	araB			
JS526_00043	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
JS526_00044	gene	879	araC			
JS526_00044	CDS	879	araC			Arabinose operon regulatory protein
JS526_00045	gene	765	yabI			
JS526_00045	CDS	765	yabI		COG0586	Inner membrane protein YabI
JS526_00046	gene	699	thiQ			
JS526_00046	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
JS526_00047	gene	1611				
JS526_00047	CDS	1611				hypothetical protein
JS526_00048	gene	984	thiB			
JS526_00048	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
JS526_00049	gene	1656	sgrR_1			
JS526_00049	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
JS526_00050	gene	132	sgrT			
JS526_00050	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
JS526_00051	gene	1179	setA			
JS526_00051	CDS	1179	setA			Sugar efflux transporter A
JS526_00052	gene	606	leuD			
JS526_00052	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
JS526_00053	gene	1401	leuC_1			
