locus_tag	ftype	length_bp	gene	EC_number	COG	product
JS511_00001	gene	717	arcA			
JS511_00001	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
JS511_00002	gene	687	trmH_1			
JS511_00002	CDS	687	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
JS511_00003	gene	2463	thrA			
JS511_00003	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
JS511_00004	gene	933	thrB			
JS511_00004	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
JS511_00005	gene	1287	thrC			
JS511_00005	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
JS511_00006	gene	297				
JS511_00006	CDS	297				hypothetical protein
JS511_00007	gene	777	yaaA			
JS511_00007	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
JS511_00008	gene	1431	alsT			
JS511_00008	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
JS511_00009	gene	954	talB			
JS511_00009	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
JS511_00010	gene	588	mog			
JS511_00010	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
JS511_00011	gene	567	satP			
JS511_00011	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
JS511_00012	gene	714				
JS511_00012	CDS	714				hypothetical protein
JS511_00013	gene	405				
JS511_00013	CDS	405				hypothetical protein
JS511_00014	gene	1917	dnaK_1			
JS511_00014	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
JS511_00015	gene	1131	dnaJ			
JS511_00015	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
JS511_00016	gene	210				
JS511_00016	CDS	210				hypothetical protein
JS511_00017	gene	1167	nhaA			
JS511_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
JS511_00018	gene	900	nhaR			
JS511_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
JS511_00019	gene	960				
JS511_00019	CDS	960				hypothetical protein
JS511_00020	gene	2451	yehB_1			
JS511_00020	CDS	2451	yehB_1		COG3188	Outer membrane usher protein YehB
JS511_00021	gene	684	yehC_1			
JS511_00021	CDS	684	yehC_1		COG3121	putative fimbrial chaperone YehC
JS511_00022	gene	534	yehD_1			
JS511_00022	CDS	534	yehD_1			putative fimbrial-like protein YehD
JS511_00023	gene	1422				
JS511_00023	CDS	1422				hypothetical protein
JS511_00024	gene	264	rpsT			
JS511_00024	CDS	264	rpsT		COG0268	30S ribosomal protein S20
JS511_00025	gene	942	ribF			
JS511_00025	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
JS511_00026	gene	2817	ileS			
JS511_00026	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JS511_00027	gene	495	lspA			
JS511_00027	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
JS511_00028	gene	450	fkpB			
JS511_00028	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
JS511_00029	gene	951	ispH			
JS511_00029	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
JS511_00030	gene	915	rihC			
JS511_00030	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
JS511_00031	gene	366				
JS511_00031	CDS	366				hypothetical protein
JS511_00032	gene	822	dapB			
JS511_00032	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JS511_00033	gene	1149	carA			
JS511_00033	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
JS511_00034	gene	3222	carB			
JS511_00034	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
JS511_00035	gene	219				
JS511_00035	CDS	219				hypothetical protein
JS511_00036	gene	396				
JS511_00036	CDS	396				hypothetical protein
JS511_00037	gene	591	yrdA_1			
JS511_00037	CDS	591	yrdA_1		COG0663	Protein YrdA
JS511_00038	gene	786	caiD			
JS511_00038	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
JS511_00039	gene	1554	caiC			
JS511_00039	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
JS511_00040	gene	1218	caiB			
JS511_00040	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
JS511_00041	gene	1143	caiA_1			
